Hashtags,Hashtag_count,Mentions,Mention_count,TermsOnly,Term_count,Language,Language_count,ScreenName,screenname_count,Places,places_count
#AutoExpo16,36,@coolboykeerthi,28,Toyota,250,,,_MeSumiT_,21,,
#UPCM,35,@suzuki2wheelers,27,vehicles,249,,,Dulal_Upadhay,21,,
#Delhi,35,@its_ShubhamK,27,latest,247,,,AnujaSpeaks,21,,
#TungTungbaje,35,@PD_Official,27,great,246,,,shah_himanshu,21,,
#Mercedes,34,@bizzarebhide,27,Showcased,244,,,megameetei,21,,
#Superbike,34,@AkkiPritam,26,Click,243,,,mridulkhurana,21,,
#Cars,33,@vikaskyogi,26,Cars,241,,,genioussurfers,21,,
#TrippleTube,33,@coolfunnytshirt,26,Not,239,,,nony_garg,21,,
#BH03,33,@minnakshidas,26,Sosok,236,,,IndiaToday,21,,
#Kwid,33,@Subirt99,26,Take,235,,,pateljayesh399,21,,
#Audi,33,@free_rider,25,Miss,235,,,arvindc0001,21,,
#Greenovatio,32,@dskbenelliindia,25,Witness,233,,,JadduJhappi,21,,
#car,32,@QuikrCars,24,Akshay,233,,,MercedesBenzInd,21,,
#G500,31,@PANKAJ1PARASHAR,24,My,233,,,TazyeenKhan,21,,
#R8,30,@MahindraRacing,24,Datsun,232,,,mik0000786,20,,
#Day3,30,@chevrolet,23,Hybrid,231,,,ragini1raj,20,,
#live,30,@viveklkw,23,5,230,,,shubham12649,20,,
#MakeInIndia,30,@oncarsin,23,yang,230,,,QuikrCars,20,,
#Ignis,30,@riteshmadhok,23,Here,228,,,IndiaNewsNViews,20,,
#Nissan,30,@UmaTalreja,23,Bollywood,227,,,lkygrl18,20,,
#24IndiaS2,28,@DhaorAshni,23,A1,225,,,perfectbhaiya,20,,
#Legend,28,@one_by_two,23,Things,225,,,ibnlive,20,,
#TataMotorsSmartHub,27,@ParasharzBoy,23,6,224,,,sweet_isha1,20,,
#BJPKaJijiScam,27,@goodyear,22,u,223,,,soodabhinav08,20,,
#Formula1,27,@TheCanonFanboy,22,come,222,,,KaranKundnani9,20,,
#McLaren,27,@Gurjant112233,22,We,222,,,VinayakSharma19,20,,
#FordMustang,27,@Renuks,21,make,220,,,alexguiarebello,20,,
#Maruti,26,@Jeep,21,GoodYear,220,,,jayeshsaini95,20,,
#aetms2016,26,@bikedekho,21,it's,219,,,dare2zak,20,,
#MercedesBenz,26,@ShyamNBT,21,To,218,,,BeingPrabhuAlur,20,,
#AudiR8,26,@CarWale,21,Astronaut,216,,,Chhota_Bhim,20,,
#JKTyreRanger,25,@SuhilaBnLachhab,21,big,216,,,AkkiPritam,20,,
#amazing,25,@NDTVPrime,21,Be,215,,,Simran_dream,19,,
#NeoWing,25,@souhilabintarab,21,WT20,212,,,mmeddki88557474,19,,
#LatestCars,25,@Zeegnition,20,Mart,210,,,R_iteshKumar,19,,
#BMW,25,@prithvi1983,20,150,210,,,Potterhead_Mee,19,,
#UK,24,@TeamKhiladi,19,What,209,,,amitkumar1598,19,,
#TaalInc,24,@nitin_gadkari,19,All,207,,,Alfiyamukarram,19,,
#GTR,24,@adiljal,19,This,206,,,itsmemujahid92,19,,
#YoYoBoys,24,@ndtv,19,Unicorn,206,,,TheGhostRider31,19,,
#2016,24,@akkians_army,19,Yamaha,203,,,upenk91,19,,
#PoloGTI,23,@ZicaTataMotors,18,Navi,203,,,cmd999,19,,
#waiting,23,@GulshanMWankar,18,Video,203,,,harveensachdeva,19,,
#Contest,23,@KrantiNDTV,18,Now,202,,,_Rani_Dixit,19,,
#Suzuki,23,@Toyota_Hybrid,17,Flip,202,,,autocarindiamag,19,,
#video,23,@KhiladiKunal,17,3,200,,,AgAshuGoyal,19,,
#delhi,22,@TVSApache_RTR,17,Should,199,,,Rajveer_ANC,19,,
#MeetTheLegend,22,@PlanetSRK,17,16,197,,,salim991,19,,
#AET,22,@AUTOEXPO2016,17,Greater,197,,,1985luckygal,19,,
#Indian,22,@Bhushanadhau1,17,??,194,,,MeghaChaddha1,19,,
#FollowBack,22,@i5achin,17,gt,193,,,AkRai832,19,,
#GLC,22,@ros9373,17,unveils,193,,,prathod2008,18,,
#Tech,22,@nivedithg,17,Experience,192,,,NabanitaSRoy,18,,
#aetms16,22,@valvemag,16,"2016,",191,,,sagar112,18,,
#Autoexpo2016,22,@ZeeNews,16,technology,191,,,bhumika1231,18,,
#automobile,21,@MahindraMojo_,16,features,191,,,Nsharma00,18,,
#Datsun,21,@InMyLifeeeeee,16,Maruti,189,,,GouravvRock,18,,
#SouhilaBenLachhab,21,@Akshaykumar,16,Get,189,,,Being_Akbar,18,,
#RetweeetPlease,21,@ETAuto,16,Live,188,,,korobi_saikia,18,,
#TataMotors,21,@Quikr,16,go,187,,,RAJATGU23916714,18,,
#Nexon,21,@FollowCII,16,Best,187,,,TrishaDutta24,18,,
#SUV,21,@DelhiAkkians,16,miss,186,,,iaditya11,18,,
#innovation,20,@Javeid_Khan,16,Renault,186,,,parinshah79,18,,
#Review,20,@Thekkapoor,16,?,186,,,bijendrakmishra,18,,
#NowPlaying,20,@TenNewsDotIn,15,together,185,,,SunjeevDevMalik,18,,
#hondanaviworld,19,@fordindia,15,Make,184,,,2016AutoExpo,18,,
#omg,18,@GLAadventure,15,??,184,,,UNGLOBALCITIZEN,18,,
#TeamFollowBack,18,@Toyota_india,15,Come,183,,,rkm_in,18,,
#Akula310,18,@CARIndia,15,Sunny,182,,,jasmeetkr,18,,
#Prologue,18,@UKTI,15,know,181,,,AanyaSaar,18,,
#Innova,18,@RjAbhinandan,15,1.12,180,,,promisingace,18,,
#GLAadventure,17,@927BIGFMDelhi,15,brand,180,,,SomChaterji,18,,
#TCI,17,@toyota_India,15,exclusive,179,,,Vbd_MechArmy,18,,
#TheresOnlyOne,17,@perfectbhaiya,15,amazing,178,,,Tripathi_Komal1,18,,
#EicherAutoExpo,17,@FordMustang,15,Car,178,,,ramyavellanki,18,,
#Avventura,17,@karunchandhok,15,people,178,,,ElectrifyingWWE,18,,
#WT20,17,@OfficialAjinkya,15,Sportech,175,,,vinaylohia82,18,,
#futureofluxury,17,@HasnaZarooriHai,15,glimpse,174,,,anaskhalid1753,18,,
#RideWithMe,17,@loveavasthi,14,untuk,173,,,GetItAl,18,,
#UrbanCross,16,@nagubela,14,exciting,172,,,NehaYagnik,18,,
#AUDI,16,@MercedesBenz,14,bikes,172,,,kumaranand2555,18,,
#navi,16,@SRKFC1,14,Times,171,,,tarunv98,18,,
#Fiat,16,@Nissan,14,like,170,,,anubhav200,17,,
#Eolab,16,@BT_India,14,???,169,,,Rimi2378,17,,
#autonews,16,@xBhp,14,Perkenalkan,169,,,TheQuint,17,,
#technology,15,@MylesCars,14,ajang,169,,,Shruti_455,17,,
#Volkswagen,15,@_MeSumiT_,14,catch,169,,,AadarshBalak,17,,
#FordAtAu,15,@UKinIndia,14,Win,169,,,JungleeAtma,17,,
#2016autoexpo,15,@SRKFCI,14,memanfaatkan,168,,,shubh00700,17,,
#Ameo,15,@ExpressDrives,13,pameran,168,,,rahulj942,17,,
#SuzukiIndia,15,@ArmaniWatches,13,automotif,168,,,AnRj14,17,,
#indiaexpomart,15,@motorzest,13,201,167,,,aditikaps,17,,
#XE,15,@Vespa_Official,13,"79,000",167,,,SArora0920,17,,
#2016delhiautoexpo,15,@IndianExpress,13,display,165,,,Dance4Lyf12,17,,
#AnilKapoorWithScross,15,@MarutiCiaz,13,Pasar,165,,,Delhi927BIGFM,17,,
#Car,15,@decdaffodil,13,open,164,,,Rocky_coolbuddy,17,,
#Foundation,15,@Vimalsumbly,12,sports,164,,,chawla_shraddha,17,,
#Jaguar,15,@autoXmag,12,engine,163,,,burnedash,17,,
#india,14,@ETNOWlive,12,Fans,163,,,IamSarfuu,17,,
#HeroMaestroEdge,14,@dna,12,It,162,,,rudrar43,17,,
#ibnlive,14,@piyushpuri12,12,awaited,161,,,FznSid,17,,
#HondaNaviWorld,14,@KatrinaGermany,12,astronaut,160,,,T_lahon,17,,
#bike,14,@Shubham_096,12,FLIP,160,,,ameeta3,17,,
#bikers,14,@indianmotocycle,12,AETMS,160,,,Dhiyanu,17,,
#Play360,14,@SirishChandran,12,live,158,,,hitesh_yadav2,16,,
#ConceptCar,14,@24hoursoflemans,12,trophy,157,,,jascapital2,16,,
#Video,14,@YahooIndia,12,take,155,,,ankit_choudhryy,16,,
#GreaterNoida,14,@Motoroids2,12,activities,155,,,nick_sarma,16,,
#XUVAero,14,@itimestweets,12,sedan,155,,,ImBhaumil,16,,
#Bonneville,14,@iamsimran_,12,S,155,,,sidpatankar,16,,
#RenaultDUSTER,13,@MRFWorldwide,12,booth,153,,,TheShreeTweets,16,,
#SmartTruck,13,@suhelseth,12,Five,152,,,happysi08326506,16,,
#model,13,@EFSENAROCKS,11,Amazing,149,,,notorious_stars,16,,
#24LM,13,@IndiaCarNews,11,looks,149,,,rohita110,16,,
#Prius,13,@Motorsport,11,Q1,149,,,AutoNewsBot,16,,
#Hexa,13,@tennews,11,Ford,148,,,dhawallsh,16,,
#BumbleBee,13,@fearlessneeraj,11,Jaguar,147,,,shoaib2095,16,,
#Jeep,13,@SRKCHENNAIFC,11,Motors,146,,,GSakhuja78,16,,
#BMWi8,13,@TCILGroup,11,ongoing,146,,,AishKpr,16,,
#stunning,13,@AkshayKumFansWB,11,stunning,146,,,Ramprasad43,16,,
#autoExpo2016,13,@autoExpo2016,11,Hyundai,145,,,kumartastic,16,,
#Goodyear,13,@AnthonyGoveas,11,anticipated,145,,,PratikR2811,16,,
#QuikrCars,13,@indiatimes,11,part,145,,,manoramaonline,16,,
#M2Electro,12,@gaadiwaadi,11,????,145,,,FunkyLadki,16,,
#PiaggioAtAutoExpo,12,@RNTata2000,11,Suzuki,143,,,AUTOTODAYMAG,16,,
#nexon,12,@ibnkhabar,10,If,142,,,absolutethinker,16,,
#hexa,12,@AJ2eats,10,production,141,,,gaadifix,16,,
#Day4,12,@AutosArena,10,India's,141,,,bmd315,16,,
#AMT,12,@UKTI_India,10,world,140,,,Anjali871,16,,
#mercedes,12,@DainikBhaskar,10,tell,139,,,gaadi,16,,
#instagrammers,12,@prathod2008,10,SuperStar,138,,,priyankadelin,16,,
#Triumph,12,@M2Wmotorcycles,10,Expos,138,,,shaleensomani,16,,
#WhatsInTheBox,12,@Lk_Gupta,10,awesome,136,,,Saad_av,16,,
#Corvette,12,@SidnChips,10,Hint,136,,,Dhyani1811,15,,
#expo,12,@royalenfield,10,Follow,136,,,sharmamayur_1,15,,
#GLC300,12,@imaarushak01,10,L,136,,,pramodakki,15,,
#greaternoida,12,@kubrasait,10,excited,136,,,KamalahasanTN,15,,
#Ciaz,11,@CNBC_Awaaz,10,XE,135,,,rahshah019,15,,
#Mirai,11,@VitaraBrezza,10,?????,135,,,ShivTha30,15,,
#NewsUpdate,11,@yogivikas,10,interesting,135,,,Praveenketha,15,,
#RaceTrackToRoad,11,@SomChaterji,10,bike,134,,,gulzar_rai,15,,
#carfie,11,@FznSid,10,Pic,133,,,Leg_Peace,15,,
#SsangYong,11,@Vbd_MechArmy,10,Kumar,133,,,Abhishek_rawat5,15,,
#Genze,11,@KamalahasanTN,9,th,132,,,rk_kashyap1,15,,
#blogger,11,@aveekdatta03,9,Security,131,,,rameshsethu,15,,
#blog,11,@JLRPR,9,added,130,,,HondaCarIndia,15,,
#MyVoteToday,11,@NadouchRose,9,For,130,,,abhilaashaS,15,,
#Climber,11,@teamsrjA,9,Lakh,129,,,dash_crazy,15,,
#TataNexon,11,@csannukr,9,tuned,129,,,gaganabh,15,,
#concept,11,@htcity,9,E,128,,,ajayaksv,15,,
#HondaNaviworld,11,@MahindraKUV100,9,showcases,128,,,sukanta4557,15,,
#til_now,11,@manav_sinha,9,ready,128,,,Rawritz,15,,
#ToyotaHybrid,11,@Audi,9,innovation,127,,,DatsunIndia,15,,
#motorshow,11,@MotostoriesIn,9,displayed,127,,,tri_mali,15,,
#expertise,11,@ShamsNaqvi,9,think,127,,,fitnessraunak,15,,
#stallno6,11,@GulPanag,9,launches,127,,,rupapatwa,15,,
#meerkat,11,@Sag_Mart,9,models,127,,,imbevda,15,,
#RoyalEnfield,11,@MYRJShreya,9,personalized,127,,,sethiashish6,15,,
#Racer,11,@autonsales,9,Stay,127,,,sinhh,15,,
#Day2,11,@Oye_Sonali,9,around,126,,,anshikash123,15,,
#Xtreme200S,11,@AMANDLDHANDF,8,performance,126,,,Digi_Free,15,,
#Technology,11,@aadee_ram,8,10,126,,,riyazali4312,15,,
#Mojo,11,@mybinloveme,8,Resmi,126,,,kachoudhury1,14,,
#DailyPoll,11,@archanavijaya,8,??,125,,,kunalsharma098,14,,
#Supro,10,@renault_tz,8,12,125,,,prakash_utsav,14,,
#ShahRukhKhan,10,@Ainesh28,8,G310R,125,,,BShrinivasKumar,14,,
#MakeinIndia,10,@sharethis,8,n,125,,,Shreya_kumar321,14,,
#Ford,10,@AkshayKumar,8,From,124,,,chinu000,14,,
#Kite5,10,@pandeypoonamNBT,8,pics,123,,,goutam_goti,14,,
#winner,10,@PressPlayTVapp,8,Nexon,123,,,vella_banda,14,,
#bhavikbhavsar,10,@dhawallsh,8,Read,122,,,style_icon13,14,,
#JKTyrePavilion,10,@VirenNBT,8,In,121,,,sammyredefined,14,,
#Sholay,10,@bikeindia,8,always,121,,,kirtibasal,14,,
#Renault's,10,@ApriliaOfficial,8,Unveiled,121,,,Almightymit,14,,
#Himalayan,10,@Pooja__G,8,Have,121,,,Sarwar_Connects,14,,
#Expo,10,@OKisnolongerOK,8,G310,120,,,Forever_Virat,14,,
#TRK502,10,@Mahindra_Thar,8,tour,120,,,deepakgurunath,14,,
#metro,10,@TrulyMonica,8,muncul,119,,,Lovely_Sathish,14,,
#ThruxtonR,10,@mishramugdha,8,And,119,,,Bondhu_Bongo,14,,
#PDArmy,10,@MovieAajTak,8,Asronaut,119,,,EKakoty,14,,
#AutoNews,10,@cardekho,8,Over,119,,,jcdiva1,14,,
#IPLAuction,10,@ameyavroom,8,?,119,,,shanaticniko,14,,
#Electric,10,@A_Rizvi110,7,TVS,119,,,COOL8769,14,,
#FordPavillion,10,@MitakshiGarg,7,Of,118,,,DeeJay_Shiva,14,,
#BonnevilleReborn,10,@RanbirKUniverse,7,Don't,118,,,ScaniaIndia,14,,
#DSKBenelli,10,@money_bhaskar,7,Meluncur,118,,,letsdotweet,14,,
#Polo,10,@JohnAbrahamCLUB,7,sure,118,,,flywithprachi,14,,
#kk,10,@CNBCTV18News,7,playlist,117,,,soniyakakkar07,14,,
#Swadeshi,10,@suzuki,7,Seperti,117,,,im_AmitS,14,,
#AutoToday,10,@cyrus_sahu,7,Ini,117,,,souravshakti,14,,
#adsense,10,@Moto_hood,7,fans,116,,,suhasfranky1,14,,
#TheAutocarShow,10,@surendracart,7,AutoExpo,116,,,quintessencethe,14,,
#CSR,9,@YamahaFascinoIN,7,every,115,,,PramodBakaliya,14,,
#CafeRacer,9,@anindasardar,7,Guys,115,,,AianaJ019,14,,
#AliaBhatt,9,@motorscribesind,7,liked,115,,,KhiladiKunal,14,,
#stampede,9,@venky6666,7,:),114,,,mopeegiveaway,14,,
#Aprilia,9,@onlyprathamesh,7,Safety,114,,,ChandanEd,14,,
#TheMotorShow,9,@JLRindia,7,well,114,,,Sag_Mart,13,,
#Ultra,9,@IanCallum,7,Just,113,,,maadaalaadlaa,13,,
#WorkSpeaks,9,@Ford,7,Re-Launch,112,,,HarshikaRuia,13,,
#3Novices,9,@CyrusDhabhar,7,Hero,112,,,girija_kriz,13,,
#suzuki,9,@investorseurope,7,Look,111,,,oncarsin,13,,
#sedan,9,@kp_85,7,happening,111,,,ssvejay,13,,
#tech,9,@AutoEx,7,what's,111,,,anindasardar,13,,
#bikes,9,@MahindraXUV500,7,spend,110,,,fun2shh_Me2,13,,
#webstarInfotech,9,@hitesh_yadav2,7,compact,109,,,singhrohit765,13,,
#FF,9,@TataCompanies,7,‘,109,,,ImAlokJalan,13,,
#Scross,9,@YogenPratap,7,brings,109,,,Akkistaan,13,,
#AllNewBMW7Series,9,@MehekMahtani,7,special,108,,,rd270,13,,
#RenegadeAtAutoExpo,9,@balagopalks,7,good,108,,,BikerSpiritmaga,13,,
#Amazing,9,@avdhesh_roy,7,chance,107,,,ItsKaraN007,13,,
#TheFilmfareLYF,9,@MahaveerM_,7,Trophy,107,,,lucas_tvs,13,,
#Jazz,9,@24HourMedia,7,all-new,107,,,free_rider,13,,
#MIRAI,9,@hondaindia,7,class,106,,,Zigwheels,13,,
