Time,total_freq,BMW,DATSUN,FORD,HONDA,JAGUAR,MARUTI,NISSAN,TATA,TOYOTA
06-02-2016 05:50,57,1,0,6,1,0,1,1,2,2
06-02-2016 05:55,58,0,0,2,0,0,5,3,0,1
06-02-2016 06:00,94,0,3,1,2,0,0,3,2,0
06-02-2016 06:05,190,2,0,1,0,0,0,0,3,2
06-02-2016 06:10,155,0,0,5,1,1,1,0,0,0
06-02-2016 06:15,109,0,0,1,4,1,0,5,4,0
06-02-2016 06:20,85,0,3,1,0,0,1,2,1,1
06-02-2016 06:25,41,0,0,0,2,1,1,0,0,3
06-02-2016 06:30,36,0,0,0,9,0,4,0,4,11
06-02-2016 06:35,80,0,0,0,44,0,5,1,12,24
06-02-2016 06:40,73,0,0,0,19,0,3,1,2,40
06-02-2016 06:45,69,0,2,1,22,0,5,6,1,35
06-02-2016 06:50,62,0,0,1,13,2,6,0,1,51
06-02-2016 06:55,65,1,0,0,12,2,6,3,0,40
06-02-2016 07:00,59,1,0,0,29,0,5,0,0,28
06-02-2016 07:05,46,0,1,0,10,1,6,0,3,20
06-02-2016 07:10,52,0,1,2,1,0,2,0,2,15
06-02-2016 07:15,142,0,0,0,8,0,6,172,5,34
06-02-2016 07:20,105,1,0,0,11,1,4,97,6,23
06-02-2016 07:25,63,5,0,0,4,0,8,3,4,25
06-02-2016 07:30,34,0,0,1,6,1,2,4,5,16
06-02-2016 07:35,67,0,0,0,11,0,6,0,13,30
06-02-2016 07:40,56,0,0,0,19,0,7,0,6,18
06-02-2016 07:45,63,13,0,0,10,0,9,0,11,12
06-02-2016 07:50,72,45,0,0,2,0,6,2,6,6
06-02-2016 07:55,100,94,0,1,7,2,2,2,2,9
06-02-2016 08:00,105,63,0,0,4,5,1,46,4,22
06-02-2016 08:05,69,69,0,0,0,2,4,1,4,26
06-02-2016 08:10,86,49,0,0,0,1,13,0,4,15
06-02-2016 08:15,83,38,0,0,9,0,2,1,2,26
06-02-2016 08:20,55,45,0,0,9,0,4,0,6,17
06-02-2016 08:25,99,98,0,0,4,3,3,2,4,51
06-02-2016 08:30,110,91,0,0,0,3,9,17,17,25
06-02-2016 08:35,78,59,0,2,2,0,5,2,2,13
06-02-2016 08:40,49,48,0,0,0,0,2,0,0,19
06-02-2016 08:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 08:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 08:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:50,35,33,0,1,3,0,0,3,0,3
06-02-2016 09:55,119,69,3,0,2,1,3,44,4,12
06-02-2016 10:00,133,72,1,4,13,4,5,69,3,11
06-02-2016 10:05,177,111,2,5,12,3,3,138,6,14
06-02-2016 10:10,122,44,0,1,10,2,6,100,2,20
06-02-2016 10:15,146,35,0,1,13,1,1,163,0,19
06-02-2016 10:20,81,18,3,0,0,5,1,77,5,3
06-02-2016 10:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:30,0,0,0,0,0,0,0,0,0,0
